[i] Train : 117266
[i] Valid : 4952
[i] pred_bboxes_op : Tensor("YOLOv3/concat:0", shape=(?, ?, 85), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_3:0", shape=(?, ?, 85), dtype=float32)
[i] max_iteration : 200000
[i] decay_iteration : [100000, 160000]
[i] iter : 50, loss : 32356.2578, giou_loss : 46.5732, conf_loss : 381.4161, class_loss : 31923.9902, l2_reg_loss : 4.2779, train_time : 100sec
[i] iter : 100, loss : 13211.5312, giou_loss : 51.9458, conf_loss : 155.5868, class_loss : 12999.7188, l2_reg_loss : 4.2808, train_time : 17sec
[i] iter : 150, loss : 6498.0894, giou_loss : 49.4509, conf_loss : 79.0019, class_loss : 6365.3535, l2_reg_loss : 4.2828, train_time : 14sec
[i] iter : 200, loss : 3920.2800, giou_loss : 46.9508, conf_loss : 50.0678, class_loss : 3818.9775, l2_reg_loss : 4.2837, train_time : 14sec
[i] iter : 250, loss : 2596.4717, giou_loss : 47.3411, conf_loss : 35.3381, class_loss : 2509.5078, l2_reg_loss : 4.2844, train_time : 14sec
[i] iter : 300, loss : 1865.7770, giou_loss : 51.7671, conf_loss : 27.8158, class_loss : 1781.9092, l2_reg_loss : 4.2850, train_time : 13sec
[i] iter : 350, loss : 1392.7677, giou_loss : 44.0901, conf_loss : 22.0378, class_loss : 1322.3542, l2_reg_loss : 4.2855, train_time : 13sec
[i] iter : 400, loss : 1205.7992, giou_loss : 52.4582, conf_loss : 21.1031, class_loss : 1127.9518, l2_reg_loss : 4.2861, train_time : 14sec
[i] iter : 450, loss : 958.8475, giou_loss : 53.1525, conf_loss : 18.6822, class_loss : 882.7262, l2_reg_loss : 4.2866, train_time : 14sec
[i] iter : 500, loss : 836.1731, giou_loss : 46.4725, conf_loss : 16.6580, class_loss : 768.7555, l2_reg_loss : 4.2870, train_time : 14sec
[i] iter : 550, loss : 699.3791, giou_loss : 47.3437, conf_loss : 15.3285, class_loss : 632.4193, l2_reg_loss : 4.2874, train_time : 14sec
[i] iter : 600, loss : 571.8721, giou_loss : 48.0233, conf_loss : 14.0259, class_loss : 505.5351, l2_reg_loss : 4.2879, train_time : 13sec
